id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,query_zip,query_latitude,query_longitude,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
7E0GO6fb7KIGAd9js7mDPg,jamaica-jerk-villa-chicago-4,Jamaica Jerk Villa,https://s3-media2.fl.yelpcdn.com/bphoto/6W3lB3RN5linwoiKjT-WUg/o.jpg,False,https://www.yelp.com/biz/jamaica-jerk-villa-chicago-4?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,163,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",3.1,"['pickup', 'delivery']",$$,+17736512240,(773) 651-2240,1402.4625026477768,60620,41.7411,-87.6543,41.75042,-87.64308,737 W 79th St,,,Chicago,60620,US,IL,"['737 W 79th St', 'Chicago, IL 60620']"
NYY3GwZTg332dkhs8JJnlg,italian-fiesta-pizzeria-chicago-8,Italian Fiesta Pizzeria,https://s3-media1.fl.yelpcdn.com/bphoto/nQot8y-b8SCwiqSFgbR2dQ/o.jpg,False,https://www.yelp.com/biz/italian-fiesta-pizzeria-chicago-8?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,112,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",2.2,"['pickup', 'delivery']",$$,+17736842222,(773) 684-2222,1073.45405791523,60620,41.7411,-87.6543,41.74729,-87.64431,8058 S Halsted St,,,Chicago,60620,US,IL,"['8058 S Halsted St', 'Chicago, IL 60620']"
zPZuFYVeu6KfQpupYhP1LQ,jamisons-soul-food-chicago,Jamison's Soul Food,https://s3-media1.fl.yelpcdn.com/bphoto/jQVY_WtK1SdtAk-8QYWJ-w/o.jpg,False,https://www.yelp.com/biz/jamisons-soul-food-chicago?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,63,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",2.1,[],,+17737016709,(773) 701-6709,1297.3850720639591,60620,41.7411,-87.6543,41.7359660754889,-87.6683412864804,1800 W 87th St,Corner of 87th & Wood,,Chicago,60620,US,IL,"['1800 W 87th St', 'Corner of 87th & Wood', 'Chicago, IL 60620']"
JwdC0viyk-edOO9X-X413w,the-hoagie-place-chicago-2,The Hoagie Place,https://s3-media3.fl.yelpcdn.com/bphoto/XF3kQFwobPkSR-OqxK2ySQ/o.jpg,False,https://www.yelp.com/biz/the-hoagie-place-chicago-2?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,51,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,['delivery'],$,+17739947714,(773) 994-7714,1013.772758640049,60620,41.7411,-87.6543,41.7456219292232,-87.6436897739768,8147 S Halsted St,,,Chicago,60620,US,IL,"['8147 S Halsted St', 'Chicago, IL 60620']"
q_QEtAn21JUaDi08UQDqTA,chicago-food-on-the-run-chicago,Chicago Food on the Run,https://s3-media1.fl.yelpcdn.com/bphoto/zBIrWqplzVxGWGbRAG6q3g/o.jpg,False,https://www.yelp.com/biz/chicago-food-on-the-run-chicago?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,41,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",3.3,"['pickup', 'delivery']",,+17734203523,(773) 420-3523,1036.1265161821211,60620,41.7411,-87.6543,41.7473251935427,-87.6635927706956,8040 S Ashland Ave,,,Chicago,60620,US,IL,"['8040 S Ashland Ave', 'Chicago, IL 60620']"
0HyQYEFeg1XZHWlaiNtU-g,harolds-chicken-shacks-chicago-4,Harold's Chicken Shacks,https://s3-media1.fl.yelpcdn.com/bphoto/hW2DnLf57vml6Tcv2aRfpQ/o.jpg,False,https://www.yelp.com/biz/harolds-chicken-shacks-chicago-4?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,35,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.0,['delivery'],$,+17732244621,(773) 224-4621,854.7100010140084,60620,41.7411,-87.6543,41.7359809577465,-87.6468946784735,917 W 87th St,,,Chicago,60620,US,IL,"['917 W 87th St', 'Chicago, IL 60620']"
Au9FDBs2Tr3isO2DTJPANw,ho-ho-chop-suey-chicago,Ho Ho Chop Suey,https://s3-media2.fl.yelpcdn.com/bphoto/obe0gmpoM8i1XNYM3ZtsDg/o.jpg,False,https://www.yelp.com/biz/ho-ho-chop-suey-chicago?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,28,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.9,['pickup'],$,+17737234993,(773) 723-4993,1279.9453610201797,60620,41.7411,-87.6543,41.7504086,-87.6441649,7908 S Halsted St,,,Chicago,60620,US,IL,"['7908 S Halsted St', 'Chicago, IL 60620']"
0PadURiFvnrNUBRDuhvnzg,b-and-b-ice-cream-and-candy-chicago,B&B Ice Cream & Candy,https://s3-media1.fl.yelpcdn.com/bphoto/AfIZD0d2j9kSOD_b1AN06A/o.jpg,False,https://www.yelp.com/biz/b-and-b-ice-cream-and-candy-chicago?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,28,"[{'alias': 'candy', 'title': 'Candy Stores'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.7,"['pickup', 'delivery']",$,+17733224060,(773) 322-4060,272.3792391729422,60620,41.7411,-87.6543,41.7435483017541,-87.6541944521002,8238 South Racine,,,Chicago,60620,US,IL,"['8238 South Racine', 'Chicago, IL 60620']"
5aA1kb319ed9222FwAHk6w,mcdonalds-chicago-77,McDonald's,https://s3-media3.fl.yelpcdn.com/bphoto/HMmajWjhawOkarNAVn-XWg/o.jpg,False,https://www.yelp.com/biz/mcdonalds-chicago-77?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,25,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",1.5,['delivery'],$,+17737792888,(773) 779-2888,719.9946261757384,60620,41.7411,-87.6543,41.7424725854585,-87.6627807319165,8321 S Ashland,,,Chicago,60620,US,IL,"['8321 S Ashland', 'Chicago, IL 60620']"
D0MbkvS9-ZoAEANIZZ175g,browns-and-family-bbq-and-soul-chicago,Brown's & Family BBQ & Soul,https://s3-media2.fl.yelpcdn.com/bphoto/iPGNLfEXhbPC_aRAmVqFVg/o.jpg,False,https://www.yelp.com/biz/browns-and-family-bbq-and-soul-chicago?adjust_creative=6pYb5ADrX8Q0aoDWjXIhJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6pYb5ADrX8Q0aoDWjXIhJA,24,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'bbq', 'title': 'Barbeque'}]",3.8,"['pickup', 'delivery']",,+17739664746,(773) 966-4746,857.5634354079154,60620,41.7411,-87.6543,41.735822298289285,-87.6467636,915 W 87th St,,,Chicago,60620,US,IL,"['915 W 87th St', 'Chicago, IL 60620']"
